timestep,Auvergne_Rhone_Alpes,Nouvelle_Aquitaine,Occitanie,Provence_Alpes_Cote_dAzur
0,87.2,95.0,89.3,120.0
1,86.625,94.385027,88.714238,119.38503
2,113.825,120.0,115.4875,95.0
3,87.2,95.0,89.3,120.0
4,14.175,16.898396,14.908222,41.898396
5,87.2,95.0,89.3,120.0
6,113.825,120.0,115.4875,95.0
7,113.825,120.0,115.4875,95.0
8,113.825,120.0,115.4875,95.0
9,113.825,120.0,115.4875,95.0
10,113.825,120.0,115.4875,95.0
11,113.825,120.0,115.4875,95.0
12,113.825,120.0,115.4875,95.0
13,87.2,95.0,89.3,120.0
14,87.2,95.0,111.33073,120.0
15,87.2,95.0,119.3617,120.0
16,87.2,120.0,119.3617,120.0
17,87.8,120.0,120.0,120.0
18,87.8,120.0,120.0,120.0
19,87.8,120.0,120.0,120.0
20,87.2,120.0,119.3617,120.0
21,87.2,120.0,119.3617,120.0
22,87.2,120.0,89.3,120.0
23,87.2,120.0,89.3,120.0
24,87.2,120.0,89.3,120.0
25,87.2,120.0,119.3617,120.0
26,87.2,120.0,119.3617,120.0
27,87.2,101.76471,89.3,120.0
28,87.2,95.0,89.3,120.0
29,87.2,95.0,89.3,120.0
30,113.825,120.0,115.4875,95.0
31,17.910166,20.893226,18.713298,45.893226
32,113.825,120.0,115.4875,95.0
33,113.825,120.0,115.4875,95.0
34,113.825,120.0,115.4875,95.0
35,19.789834,22.903565,20.628146,47.903565
36,87.2,95.0,89.3,120.0
37,87.2,95.0,119.3617,120.0
38,87.2,120.0,119.3617,120.0
39,87.2,120.0,119.3617,120.0
40,87.2,95.0,119.3617,120.0
41,87.2,95.0,115.95813,120.0
42,87.2,95.0,89.3,120.0
43,48.35,49.973262,48.787032,24.973262
44,113.825,120.0,115.4875,95.0
45,113.825,120.0,115.4875,95.0
46,87.2,95.0,89.3,120.0
47,20.0,23.128342,20.842246,48.128342
